id,city,type,dist,bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,longitude,latitude,distance
171395,深圳,整租,龙华区,1,0,1,40,整租·富驰大厦 1室0厅 南,富驰大厦,龙华中心,1室0厅1卫,2800,官方核验 精装,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2483358660709842944.html,元/月,,,
167772,深圳,整租,龙岗区,1,0,1,41,整租·万科第五园三期 1室0厅 南,万科第五园三期,坂田,1室0厅1卫,3300,官方核验,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2493348957694984192.html,元/月,114.07618979143,22.623469099703,
178468,深圳,整租,宝安区,1,0,1,32,独栋·碧家国际社区 石岩店 关爱月光族特价房 开间,,石岩,1室0厅1卫,1885-2360,月租 有阳台 押一付一,南,https://m.lianjia.com/chuzu/sz/apartment/layout/273794.html,元/月,113.97043,22.693426,
179126,深圳,整租,龙华区,4,2,2,149,整租·锦绣江南二期 4室2厅 南/北,锦绣江南二期,龙华新区,4室2厅2卫,7500,官方核验 双卫生间,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2391989030305931264.html,元/月,114.035824,22.641371,
173946,深圳,合租,南山区,4,1,2,12,合租·登良花园 4居室 南卧,登良花园,南山中心,4室1厅2卫,2390,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2491316245354790912.html,元/月,113.92726711005,22.519295298193,730
179020,深圳,整租,龙华区,3,1,1,125,整租·绿景香颂 3室1厅 东南/南,绿景香颂,龙华新区,3室1厅1卫,5300,官方核验,东南 南,https://m.lianjia.com/chuzu/sz/zufang/SZ2335316462241054720.html,元/月,114.042886,22.636677,
166187,深圳,整租,龙岗区,2,1,1,73,整租·百合星城一期 2室1厅 北,百合星城一期,布吉关,2室1厅1卫,4500,官方核验 近地铁 随时看房,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2428946859252269056.html,元/月,114.127677,22.60437,500
153566,深圳,整租,罗湖区,3,1,1,98,整租·畔山花园 3室1厅 南,畔山花园,莲塘,3室1厅1卫,5200,官方核验,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2298401065885761536.html,元/月,114.183278,22.567247,
166584,深圳,整租,龙岗区,1,0,1,15-26,独栋·小航公寓 丹竹头店 单间 开间,,布吉大芬,1室0厅1卫,1390-1980,月租 拎包入住 有阳台 开放厨房,东南,https://m.lianjia.com/chuzu/sz/apartment/layout/212836.html,元/月,114.149716,22.616753,
151459,深圳,整租,罗湖区,4,2,2,99,整租·百仕达东郡 4室2厅 南,百仕达东郡,百仕达,4室2厅2卫,17000,官方核验 近地铁 精装 双卫生间 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2481873921226579968.html,元/月,114.14400235604,22.575942387973,257
168613,深圳,整租,龙岗区,1,0,1,20-25,独栋·平台优选商家 杨美店 杨美性价比单间 开间,,坂田,1室0厅1卫,1580-1780,月租 拎包入住 近地铁 有阳台 开放厨房,东南,https://m.lianjia.com/chuzu/sz/apartment/layout/260163.html,元/月,114.086573,22.632634,
165885,深圳,整租,宝安区,1,0,1,28,独栋·平台认证机构 大鱼公寓·宝民店 精致大单间 开间,,西乡,1室0厅1卫,1800,首月0元 月租 拎包入住 有阳台 开放厨房,南,https://m.lianjia.com/chuzu/sz/apartment/layout/260731.html,元/月,113.895915,22.583465,
153570,深圳,整租,罗湖区,3,2,2,102,整租·鹏兴花园一期 3室2厅 南,鹏兴花园一期,莲塘,3室2厅2卫,5200,官方核验 精装 双卫生间 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2404374756431503360.html,元/月,114.17069873346,22.57134073196,
159121,深圳,整租,福田区,2,1,1,65,整租·皇庭世纪 2室1厅 东北,皇庭世纪,石厦,2室1厅1卫,7800,官方核验 近地铁,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2426602711500718080.html,元/月,114.06439751471,22.532197522312,308
161613,深圳,整租,南山区,1,0,1,15-28,独栋·张优公寓 白石洲店 石洲中路28号 开间,,华侨城,1室0厅1卫,2490-3990,近地铁 开放厨房,南 北,https://m.lianjia.com/chuzu/sz/apartment/layout/271003.html,元/月,113.973366,22.542414,
175220,深圳,整租,南山区,1,0,1,23,整租·东方美地苑 1室0厅 西,东方美地苑,南头,1室0厅1卫,3600,官方核验 近地铁,西,https://m.lianjia.com/chuzu/sz/zufang/SZ2414381077335646208.html,元/月,113.92547130547,22.543981620084,1002
88546,深圳,合租,龙岗区,5,1,2,8,合租·佳兆业可园五期 5居室 东卧,佳兆业可园五期,布吉关,5室1厅2卫,1590,近地铁 精装 随时看房,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2459662680668520448.html,元/月,114.142228,22.605839,736
164171,深圳,整租,宝安区,1,1,1,38,整租·中信领航 1室1厅 东北,中信领航,西乡,1室1厅1卫,3400,官方核验 新上 随时看房,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2494996925884145664.html,元/月,113.86282345215,22.615483681463,
151253,深圳,整租,罗湖区,2,1,1,72,整租·君逸华府 2室1厅 西,君逸华府,布心,2室1厅1卫,6000,官方核验 近地铁,西,https://m.lianjia.com/chuzu/sz/zufang/SZ2410900645067628544.html,元/月,114.139605,22.582741,567
158857,深圳,整租,福田区,1,1,1,42,整租·皇庭世纪 1室1厅 南,皇庭世纪,石厦,1室1厅1卫,6000,官方核验 近地铁 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2482597556367138816.html,元/月,114.06439751471,22.532197522312,308
177145,深圳,整租,宝安区,1,0,1,25,整租·中南花园 1室0厅 东南,中南花园,翻身,1室0厅1卫,2680,月租 近地铁 精装 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2404986658324742144.html,元/月,,,
164530,深圳,整租,宝安区,3,2,2,89,整租·康达尔山海上城二期 3室2厅 西南,康达尔山海上城二期,西乡,3室2厅2卫,6100,官方核验 精装 双卫生间 随时看房,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2488255749143404544.html,元/月,113.860728,22.596133,
